epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,343.304,0.46507,3.31888,0.36828,0.33191,1.10724,0.99825,1,0.995,0.8637,0.99825,1,0.995,0.743,0.62861,1.32707,0.41539,0.31351,0.97484,0.000482,0.000482,0.000482
117,346.262,0.44856,3.36839,0.38217,0.33101,1.09543,0.99812,1,0.995,0.8671,0.99812,1,0.995,0.6531,0.73874,1.75919,0.38468,0.35153,1.13946,0.0004688,0.0004688,0.0004688
118,349.209,0.45502,3.1706,0.36196,0.3287,1.09708,0.99789,1,0.995,0.86534,0.99789,1,0.995,0.65682,0.73738,1.55895,0.39412,0.32938,1.11423,0.0004556,0.0004556,0.0004556
119,352.182,0.47708,3.24989,0.38196,0.33634,1.11325,0.99753,1,0.995,0.86159,0.99753,1,0.995,0.59072,0.73716,1.77532,0.42906,0.3621,1.10707,0.0004424,0.0004424,0.0004424
120,355.139,0.47816,3.10972,0.35546,0.33582,1.10442,0.99761,1,0.995,0.89617,0.99761,1,0.995,0.57106,0.60685,1.584,0.43075,0.35453,0.9306,0.0004292,0.0004292,0.0004292
121,358.121,0.43233,3.2903,0.37778,0.32402,1.09793,0.99773,1,0.995,0.89058,0.99773,1,0.995,0.62689,0.64878,1.51696,0.40643,0.38718,0.99952,0.000416,0.000416,0.000416
122,361.067,0.45758,3.28845,0.35642,0.34059,1.09342,0.99796,1,0.995,0.88289,0.99796,1,0.995,0.68197,0.69926,1.42614,0.42307,0.39969,1.09141,0.0004028,0.0004028,0.0004028
123,364.026,0.44661,3.21333,0.3673,0.32602,1.09171,0.998,1,0.995,0.8779,0.998,1,0.995,0.74229,0.71755,1.3574,0.39709,0.36288,1.11846,0.0003896,0.0003896,0.0003896
124,367.001,0.45803,2.98325,0.35906,0.33337,1.1021,0.99809,1,0.995,0.89153,0.99809,1,0.995,0.70888,0.64362,1.62166,0.402,0.32472,0.99829,0.0003764,0.0003764,0.0003764
125,369.962,0.42157,2.98681,0.37195,0.30607,1.08155,0.9981,1,0.995,0.89024,0.9981,1,0.995,0.73967,0.58285,1.34918,0.40227,0.30499,0.90648,0.0003632,0.0003632,0.0003632
126,373.012,0.43749,3.15968,0.3786,0.31761,1.10567,0.99809,1,0.995,0.85354,0.99809,1,0.995,0.73574,0.75186,1.36764,0.39293,0.32059,1.1657,0.00035,0.00035,0.00035
127,375.977,0.43506,2.94093,0.36642,0.32452,1.08053,0.9981,1,0.995,0.85851,0.96874,0.97059,0.95412,0.61836,0.71649,1.63928,0.36085,0.30622,1.12379,0.0003368,0.0003368,0.0003368
128,378.917,0.44706,3.07001,0.39331,0.32358,1.09478,0.99815,1,0.995,0.87561,0.99815,1,0.995,0.63047,0.66441,1.74624,0.3751,0.31488,1.0113,0.0003236,0.0003236,0.0003236
129,381.87,0.44602,2.86155,0.35779,0.31334,1.09823,0.99828,1,0.995,0.87827,0.99828,1,0.995,0.73405,0.68441,1.42281,0.38248,0.31649,1.03128,0.0003104,0.0003104,0.0003104
130,384.787,0.42877,2.95819,0.36425,0.31868,1.08418,0.99833,1,0.995,0.88107,0.99833,1,0.995,0.70659,0.65667,1.45027,0.38537,0.30072,1.00612,0.0002972,0.0002972,0.0002972
131,387.779,0.42737,2.9846,0.38227,0.30816,1.08208,0.99832,1,0.995,0.87417,0.99832,1,0.995,0.74699,0.6872,1.32721,0.38822,0.33271,1.04797,0.000284,0.000284,0.000284
132,390.721,0.46579,3.22829,0.36741,0.32834,1.0963,0.99836,1,0.995,0.86412,0.99836,1,0.995,0.71376,0.75407,1.52517,0.39737,0.36784,1.15411,0.0002708,0.0002708,0.0002708
133,393.658,0.44635,3.19134,0.36881,0.3188,1.09513,0.99825,1,0.995,0.84877,0.99825,1,0.995,0.76197,0.78302,1.27677,0.4216,0.36158,1.19489,0.0002576,0.0002576,0.0002576
134,396.589,0.41937,2.72523,0.36379,0.29805,1.07208,0.99811,1,0.995,0.86631,0.99811,1,0.995,0.74094,0.71267,1.25824,0.4355,0.38253,1.07577,0.0002444,0.0002444,0.0002444
135,399.573,0.44433,2.94255,0.35122,0.31396,1.09837,0.99808,1,0.995,0.87737,0.99808,1,0.995,0.73283,0.66435,1.31799,0.40988,0.32623,1.00724,0.0002312,0.0002312,0.0002312
136,402.516,0.45345,2.86775,0.35482,0.32173,1.09928,0.99813,1,0.995,0.88167,0.99813,1,0.995,0.73229,0.63475,1.22737,0.42096,0.29647,0.96593,0.000218,0.000218,0.000218
137,405.438,0.4205,2.98707,0.37281,0.30956,1.0781,0.99812,1,0.995,0.89033,0.99812,1,0.995,0.75254,0.6239,1.24786,0.42964,0.29564,0.94965,0.0002048,0.0002048,0.0002048
138,408.402,0.43451,2.53409,0.33729,0.31555,1.09156,0.99803,1,0.995,0.88509,0.99803,1,0.995,0.74518,0.59454,1.25924,0.40861,0.2918,0.91523,0.0001916,0.0001916,0.0001916
139,411.343,0.43011,2.71101,0.37117,0.3167,1.08272,0.99787,1,0.995,0.88479,0.99787,1,0.995,0.75568,0.64444,1.16707,0.39237,0.3065,0.98544,0.0001784,0.0001784,0.0001784
140,414.283,0.42048,2.68038,0.3521,0.30734,1.08069,0.99777,1,0.995,0.87345,0.99777,1,0.995,0.7329,0.70101,1.21365,0.39284,0.33527,1.08376,0.0001652,0.0001652,0.0001652
141,431.78,0.34094,1.88496,0.47083,0.40847,1.12556,0.99795,1,0.995,0.86432,0.99795,1,0.995,0.73328,0.78532,1.43408,0.38992,0.35504,1.2446,0.000152,0.000152,0.000152
142,434.674,0.32292,1.82234,0.45252,0.2619,1.10298,0.9983,1,0.995,0.85599,0.9983,1,0.995,0.75347,0.75315,1.41013,0.35995,0.33408,1.18365,0.0001388,0.0001388,0.0001388
143,437.593,0.29798,1.64598,0.43641,0.23217,1.08806,0.99834,1,0.995,0.86402,0.99834,1,0.995,0.73855,0.70431,1.46082,0.32111,0.34827,1.11565,0.0001256,0.0001256,0.0001256
144,440.481,0.2689,1.62651,0.39812,0.21948,1.079,0.9984,1,0.995,0.87121,0.9984,1,0.995,0.77333,0.69133,1.26431,0.31604,0.34142,1.08358,0.0001124,0.0001124,0.0001124
145,443.469,0.2756,1.50607,0.355,0.21389,1.08477,0.99842,1,0.995,0.85405,0.99842,1,0.995,0.81572,0.7124,1.13122,0.30628,0.33734,1.12636,9.92e-05,9.92e-05,9.92e-05
146,446.367,0.27113,1.41531,0.37444,0.20807,1.0568,0.99844,1,0.995,0.85346,0.99844,1,0.995,0.82244,0.72254,1.02167,0.30206,0.33465,1.15209,8.6e-05,8.6e-05,8.6e-05
147,449.291,0.29382,1.45145,0.35578,0.21782,1.08552,0.99843,1,0.995,0.86628,0.99843,1,0.995,0.8384,0.71692,1.04467,0.30126,0.33385,1.13927,7.28e-05,7.28e-05,7.28e-05
148,452.205,0.25661,1.46875,0.36394,0.19981,1.06275,0.9984,1,0.995,0.86863,0.9984,1,0.995,0.83805,0.69725,1.05249,0.29569,0.33567,1.085,5.96e-05,5.96e-05,5.96e-05
149,455.11,0.2657,1.32096,0.35094,0.1962,1.04877,0.99843,1,0.995,0.8798,0.99843,1,0.995,0.8194,0.66172,1.11202,0.28821,0.32483,1.01717,4.64e-05,4.64e-05,4.64e-05
150,458.006,0.26635,1.41471,0.3455,0.1978,1.06903,0.99844,1,0.995,0.87729,0.99844,1,0.995,0.8438,0.66803,0.99944,0.28789,0.32781,1.02823,3.32e-05,3.32e-05,3.32e-05
