epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,86.2034,0.6697,7.72628,0.50904,0.47336,1.27097,0.99653,1,0.995,0.8789,0.58611,0.58824,0.35784,0.08032,0.64563,5.08001,0.55783,0.38822,1.06302,0.0016304,0.0016304,0.0016304
30,89.1184,0.66714,7.6244,0.5188,0.45262,1.25756,0.96937,1,0.99014,0.8258,0.45616,0.47059,0.22583,0.03857,0.87298,5.99531,0.74567,0.41784,1.29182,0.0016172,0.0016172,0.0016172
31,92.0134,0.67674,7.8883,0.50346,0.45449,1.27042,0.99769,1,0.995,0.81806,0.49885,0.5,0.30331,0.06843,0.9153,5.74842,0.5956,0.46026,1.43007,0.001604,0.001604,0.001604
32,94.9058,0.64649,7.13363,0.50317,0.44869,1.27153,0.99769,1,0.995,0.7968,0.35212,0.35294,0.12529,0.02792,0.92577,6.24819,0.5632,0.47815,1.54637,0.0015908,0.0015908,0.0015908
33,97.8798,0.65595,7.25225,0.48681,0.44098,1.23467,0.99776,1,0.995,0.85473,0.67492,0.67647,0.4869,0.10752,0.79163,4.50931,0.53683,0.44445,1.22575,0.0015776,0.0015776,0.0015776
34,100.804,0.68344,6.55849,0.51072,0.45257,1.28316,0.99792,1,0.995,0.8205,0.79247,0.79412,0.64265,0.15371,0.88967,4.30793,0.55826,0.47887,1.41004,0.0015644,0.0015644,0.0015644
35,103.742,0.69404,6.75028,0.4857,0.46492,1.25285,0.99663,1,0.995,0.8453,0.64483,0.64706,0.43809,0.09545,0.80928,4.04754,0.56172,0.49703,1.25204,0.0015512,0.0015512,0.0015512
36,106.635,0.65771,6.71541,0.47521,0.44312,1.25993,0.99514,1,0.995,0.86532,0.76182,0.76471,0.6511,0.15629,0.81376,4.35021,0.51342,0.43302,1.2883,0.001538,0.001538,0.001538
37,109.554,0.70606,6.72495,0.48695,0.47487,1.28607,0.99754,1,0.995,0.78304,0.88018,0.88235,0.8217,0.23509,0.93498,3.85464,0.60396,0.40881,1.47537,0.0015248,0.0015248,0.0015248
38,112.455,0.67436,6.52286,0.45778,0.45073,1.26095,1,0.99751,0.995,0.85231,0.72705,0.70588,0.63697,0.1544,0.66659,5.28514,0.70777,0.45646,1.13411,0.0015116,0.0015116,0.0015116
39,115.386,0.61733,6.70285,0.4869,0.43005,1.23587,0.99823,1,0.995,0.88156,0.64586,0.64706,0.46291,0.17017,0.64034,4.71427,0.61547,0.53934,1.03213,0.0014984,0.0014984,0.0014984
40,118.296,0.60703,7.05837,0.49974,0.42612,1.22477,0.99799,1,0.995,0.80236,0.58778,0.58824,0.37011,0.11112,0.86398,5.11168,0.52621,0.43293,1.38859,0.0014852,0.0014852,0.0014852
41,121.216,0.62335,7.0086,0.4849,0.42631,1.20987,0.99802,1,0.995,0.86651,0.85122,0.85294,0.75566,0.28743,0.70748,3.57695,0.49061,0.41239,1.19838,0.001472,0.001472,0.001472
42,124.253,0.61268,6.72123,0.47838,0.41942,1.2289,0.998,1,0.995,0.83751,0.52902,0.52941,0.29964,0.06848,0.86685,4.99048,0.53094,0.54254,1.42097,0.0014588,0.0014588,0.0014588
43,127.176,0.63044,6.53457,0.48289,0.41885,1.23654,0.99808,1,0.995,0.76147,0.64594,0.64706,0.47574,0.11574,1.02959,4.84987,0.5324,0.51854,1.63928,0.0014456,0.0014456,0.0014456
